,Player,Line_pp,Line_dog,Stat,difference,Date,League_dog,Team_dog
143,Munkushi~,9.5,11.5,MAPS 1-2 Kills,-0.21052631578947367,2023-05-25,ESPORTS, One Move
142,gpk,16.0,17.5,MAPS 1-2 Kills,-0.09375,2023-05-25,ESPORTS,BetBoom 
148,Alone,17.0,18.5,MAPS 1-2 Kills,-0.08823529411764706,2023-05-25,ESPORTS,Hokori 
55,Caleb Martin,11.5,12.5,PTS,-0.08695652173913043,2023-05-25,NBA,MIA
146,Larl,15.0,16.0,MAPS 1-2 Kills,-0.06666666666666667,2023-05-25,ESPORTS,Spirit 
57,Caleb Martin,16.0,17.0,PTS+TRB,-0.0625,2023-05-25,NBA,MIA
59,Al Horford,8.0,8.5,TRB+AST,-0.0625,2023-05-25,NBA,BOS
145,Yatoro,17.0,18.0,MAPS 1-2 Kills,-0.058823529411764705,2023-05-25,ESPORTS,Spirit 
165,keiz,38.5,40.5,MAPS 1-2 Kills,-0.05194805194805195,2023-05-24,ESPORTS,O PLANO 
152,Leostyle,11.5,12.0,MAPS 1-2 Kills,-0.043478260869565216,2023-05-25,ESPORTS, Infinity
97,runi,28.5,29.5,MAPS 1-2 Kills,-0.03508771929824561,2023-05-24,ESPORTS,Cloud9 
16,Jayson Tatum,15.5,16.0,TRB+AST,-0.03225806451612903,2023-05-25,NBA,BOS
150,Pakazs,16.5,17.0,MAPS 1-2 Kills,-0.030303030303030304,2023-05-25,ESPORTS,Evil Geniuses 
171,zevy,38.5,39.5,MAPS 1-2 Kills,-0.025974025974025976,2023-05-24,ESPORTS, paiN
163,piriaz1n,38.5,39.5,MAPS 1-2 Kills,-0.025974025974025976,2023-05-24,ESPORTS, Arctic
157,coldzera,33.5,34.0,MAPS 1-2 Kills,-0.014925373134328358,2023-05-24,ESPORTS,00Nation 
166,Swisher,38.0,37.5,MAPS 1-2 Kills,0.013157894736842105,2023-05-24,ESPORTS,ATK 
164,MaLLby,35.0,34.5,MAPS 1-2 Kills,0.014285714285714285,2023-05-24,ESPORTS,O PLANO 
96,jakee,30.5,30.0,MAPS 1-2 Kills,0.01639344262295082,2023-05-24,ESPORTS,Cloud9 
170,biguzera,40.0,39.0,MAPS 1-2 Kills,0.025,2023-05-24,ESPORTS, paiN
169,skullz,38.0,37.0,MAPS 1-2 Kills,0.02631578947368421,2023-05-24,ESPORTS, paiN
67,Gabe Vincent,18.0,17.5,PTS+TRB+AST,0.027777777777777776,2023-05-25,NBA,MIA
131,Timado,17.5,17.0,MAPS 1-2 Kills,0.02857142857142857,2023-05-24,ESPORTS,TSM 
153,DarkMago,17.0,16.5,MAPS 1-2 Kills,0.029411764705882353,2023-05-25,ESPORTS,beastcoast 
95,Xeppaa,33.0,32.0,MAPS 1-2 Kills,0.030303030303030304,2023-05-24,ESPORTS,Cloud9 
160,ckzao,31.0,30.0,MAPS 1-2 Kills,0.03225806451612903,2023-05-24,ESPORTS, RED Canids
141,Nightfall,15.0,14.5,MAPS 1-2 Kills,0.03333333333333333,2023-05-25,ESPORTS,BetBoom 
162,decenty,39.0,37.5,MAPS 1-2 Kills,0.038461538461538464,2023-05-24,ESPORTS, Arctic
155,dumau,38.5,37.0,MAPS 1-2 Kills,0.03896103896103896,2023-05-24,ESPORTS,00Nation 
70,Derrick White,12.5,12.0,PTS,0.04,2023-05-25,NBA,BOS
167,MisteM,34.0,32.5,MAPS 1-2 Kills,0.04411764705882353,2023-05-24,ESPORTS,ATK 
161,kNgV-,38.0,36.0,MAPS 1-2 Kills,0.05263157894736842,2023-05-24,ESPORTS, Arctic
137,Dendi,9.0,8.5,MAPS 1-2 Kills,0.05555555555555555,2023-05-24,ESPORTS, B8 
136,StoneBank,9.0,8.5,MAPS 1-2 Kills,0.05555555555555555,2023-05-24,ESPORTS, B8 
159,detr0ittJ,31.5,29.5,MAPS 1-2 Kills,0.06349206349206349,2023-05-24,ESPORTS, RED Canids
158,t9rnay,37.5,35.0,MAPS 1-2 Kills,0.06666666666666667,2023-05-24,ESPORTS, RED Canids
149,DCMC,13.5,12.5,MAPS 1-2 Kills,0.07407407407407407,2023-05-25,ESPORTS, Balrogs
133,Kitzz,11.0,10.0,MAPS 1-2 Kills,0.09090909090909091,2023-05-24,ESPORTS, Felt
138,shiro,16.0,14.5,MAPS 1-2 Kills,0.09375,2023-05-25,ESPORTS,PSG.LGD 
139,NothingToSay,15.5,14.0,MAPS 1-2 Kills,0.0967741935483871,2023-05-25,ESPORTS,PSG.LGD 
140,flyfly,10.0,8.5,MAPS 1-2 Kills,0.15,2023-05-25,ESPORTS, Piggy Kille
151,Adrian,12.0,10.0,MAPS 1-2 Kills,0.16666666666666666,2023-05-25,ESPORTS, Infinity
147,squad1x,13.5,10.5,MAPS 1-2 Kills,0.2222222222222222,2023-05-25,ESPORTS, Virtus.Pro
